City,Lat,Lng,Max Temp,Humidity,Clouds,Wind,Country,Date
astana,51.1801,71.446,62.6,42,0,15.66,KZ,1619419411
orodara,10.9492,-4.9342,80.6,65,20,6.91,BF,1619419412
santo antonio do ica,-3.1022,-67.9397,73.31,98,100,1.19,BR,1619419412
samarai,-10.6167,150.6667,84.16,73,99,13.09,PG,1619419412
ambilobe,-13.2,49.05,84.88,59,16,5.06,MG,1619419413
labrea,-7.2586,-64.7981,73.51,98,100,2.84,BR,1619419413
talnakh,69.4865,88.3972,13.86,85,100,9.82,RU,1619419414
kavieng,-2.5744,150.7967,83.5,70,91,4.25,PG,1619419414
atikokan,48.7555,-91.6216,31.33,53,100,7.7,CA,1619419414
ayagoz,47.9714,80.4392,58.57,19,18,3.49,KZ,1619419415
castro,-24.7911,-50.0119,54.18,96,19,2.91,BR,1619419415
ponta delgada,37.7333,-25.6667,57.2,88,75,5.75,PT,1619419415
severo-kurilsk,50.6789,156.125,31.08,93,100,15.7,RU,1619419416
ko samui,9.5357,99.9357,93.2,62,20,11.5,TH,1619419416
gat,31.61,34.7642,69.01,33,39,1.99,IL,1619419416
atar,20.5169,-13.0499,73.13,24,5,7.9,MR,1619419417
pemangkat,1.1667,108.9667,84.96,72,3,9.48,ID,1619419417
cidreira,-30.1811,-50.2056,61.05,76,37,15.23,BR,1619419418
santa maria,-29.6842,-53.8069,53.44,76,70,2.93,BR,1619419418
black river,18.0264,-77.8487,78.8,83,75,2.3,JM,1619419338
ahipara,-35.1667,173.1667,57.9,78,99,5.35,NZ,1619419419
christchurch,-43.5333,172.6333,55.99,54,95,5.75,NZ,1619419419
bengkulu,-3.8004,102.2655,83.55,77,80,7.7,ID,1619419419
elverum,60.8819,11.5623,37.0,57,10,5.01,NO,1619419420
buraydah,26.326,43.975,82.4,42,0,8.05,SA,1619419420
caravelas,-17.7125,-39.2481,72.12,91,68,6.11,BR,1619419420
cape town,-33.9258,18.4232,62.01,94,20,6.91,ZA,1619419164
bredasdorp,-34.5322,20.0403,50.0,93,16,1.19,ZA,1619419421
vaini,-21.2,-175.2,78.8,89,75,3.44,TO,1619419421
portland,45.5234,-122.6762,51.01,83,71,2.75,US,1619418840
cururupu,-1.8283,-44.8683,73.74,94,81,1.77,BR,1619419422
suntar,62.1444,117.6319,30.67,87,100,12.01,RU,1619419422
quesnel,52.9999,-122.5029,33.8,55,1,1.45,CA,1619419423
mareeba,-17.0,145.4333,73.99,94,75,11.5,AU,1619419423
ponta do sol,32.6667,-17.1,57.99,79,37,4.0,PT,1619419423
nyurba,63.2842,118.3319,26.29,84,100,11.7,RU,1619419424
constitucion,-35.3333,-72.4167,55.89,73,0,6.85,CL,1619419424
hasaki,35.7333,140.8333,66.99,33,20,11.5,JP,1619419425
saint-augustin,51.226,-58.6502,33.91,85,100,5.12,CA,1619419388
chuy,-33.6971,-53.4616,60.08,73,91,8.81,UY,1619419425
lerdo,25.5333,-103.5333,71.85,22,86,5.17,MX,1619419425
ballaghaderreen,53.9,-8.5833,39.99,32,57,1.16,IE,1619419426
uddevalla,58.3478,11.9424,39.99,60,0,10.36,SE,1619419426
majene,-3.5403,118.9707,86.85,63,98,7.94,ID,1619419224
barrow,71.2906,-156.7887,19.4,79,1,11.5,US,1619419427
georgetown,5.4112,100.3354,89.6,66,40,10.36,MY,1619419321
kruisfontein,-34.0033,24.7314,73.29,36,100,1.59,ZA,1619419427
chivay,-15.6383,-71.6011,42.24,72,2,0.69,PE,1619419428
cherskiy,68.75,161.3,19.51,84,24,3.91,RU,1619419428
orneta,54.1148,20.1333,36.48,76,100,10.58,PL,1619419428
ilulissat,69.2167,-51.1,48.2,43,75,18.41,GL,1619419429
igbo ora,7.4333,3.2833,79.3,81,58,4.83,NG,1619419429
saskylakh,71.9167,114.0833,14.04,89,100,18.77,RU,1619419429
vardo,70.3705,31.1107,35.6,69,0,10.36,NO,1619419430
tandil,-37.3217,-59.1332,51.01,94,0,2.13,AR,1619419430
port elizabeth,-33.918,25.5701,59.0,88,0,2.3,ZA,1619419431
yakeshi,49.2833,120.7333,63.77,37,100,17.13,CN,1619419431
almunecar,36.7339,-3.6907,57.99,86,1,3.85,ES,1619419431
tuktoyaktuk,69.4541,-133.0374,2.16,97,47,8.39,CA,1619419432
point fortin,10.1833,-61.6833,75.99,93,100,10.49,TT,1619419432
new norfolk,-42.7826,147.0587,60.01,74,98,1.99,AU,1619419432
gidam,18.9833,81.4,103.91,17,9,3.71,IN,1619419433
nouadhibou,20.931,-17.0347,64.4,82,0,13.8,MR,1619419433
surgut,61.25,73.4167,55.4,26,0,13.42,RU,1619419434
dikson,73.5069,80.5464,22.96,94,100,23.17,RU,1619419434
eyl,7.9803,49.8164,87.24,58,51,7.65,SO,1619419434
gorontalo,0.5412,123.0595,85.73,69,34,5.12,ID,1619419435
kadhan,24.481,68.9859,103.77,12,0,6.49,PK,1619419435
bradenton,27.4989,-82.5748,68.0,82,1,5.75,US,1619419198
hobart,-42.8794,147.3294,60.8,51,20,18.41,AU,1619419187
taltal,-25.4,-70.4833,59.95,83,1,1.34,CL,1619419436
mahebourg,-20.4081,57.7,78.8,83,75,14.97,MU,1619419436
granadilla de abona,28.1188,-16.576,66.2,82,75,3.44,ES,1619419437
mudhol,16.35,75.2833,96.94,22,70,3.13,IN,1619419437
yulara,-25.2406,130.9889,78.8,18,0,12.66,AU,1619419437
sitka,57.0531,-135.33,48.2,49,1,1.43,US,1619419438
marsh harbour,26.5412,-77.0636,77.9,77,0,7.34,BS,1619419438
belvedere marittimo,39.6179,15.8617,60.84,54,23,2.35,IT,1619419439
umm lajj,25.0213,37.2685,87.26,40,0,10.07,SA,1619419244
leningradskiy,69.3833,178.4167,21.76,94,20,2.04,RU,1619419439
takoradi,4.8845,-1.7554,80.49,84,75,2.51,GH,1619419440
saldanha,-33.0117,17.9442,59.0,94,5,10.36,ZA,1619419440
wakkanai,45.4094,141.6739,44.6,57,40,13.8,JP,1619419440
aasiaat,68.7098,-52.8699,29.98,87,100,5.3,GL,1619419441
luwuk,-0.9516,122.7875,83.32,75,98,4.97,ID,1619419441
laguna,38.421,-121.4238,48.99,66,1,5.75,US,1619419441
rawson,-43.3002,-65.1023,57.36,58,85,13.0,AR,1619419442
te anau,-45.4167,167.7167,40.77,82,76,4.21,NZ,1619419442
terney,45.0503,136.6092,50.22,44,10,10.47,RU,1619419443
ugoofaaru,5.6667,73.0,84.07,71,7,4.94,MV,1619419443
grand gaube,-20.0064,57.6608,78.01,83,100,10.0,MU,1619419443
port macquarie,-31.4333,152.9167,66.99,71,1,1.01,AU,1619419444
arinos,-15.9169,-46.1056,74.46,60,94,1.03,BR,1619419444
codrington,-38.2667,141.9667,58.66,73,100,9.55,AU,1619419444
methoni,36.8197,21.7049,62.01,88,20,3.42,GR,1619419445
kashi,39.4547,75.9797,69.8,16,35,8.95,CN,1619419445
eureka,40.8021,-124.1637,48.0,93,90,4.61,US,1619419154
buala,-8.145,159.5921,83.44,74,51,3.04,SB,1619419446
kurilsk,45.2333,147.8833,31.19,74,6,12.48,RU,1619419446
upington,-28.4478,21.2561,64.4,34,0,9.22,ZA,1619419447
muriti,-1.9833,32.9167,69.8,88,75,5.75,TZ,1619419447
almaznyy,48.0448,40.045,46.4,87,40,11.18,RU,1619419447
jacobabad,28.281,68.4388,106.38,9,0,5.73,PK,1619419448
abengourou,6.7297,-3.4964,74.12,91,99,2.62,CI,1619419448
zonguldak,41.25,31.8333,48.2,100,75,2.3,TR,1619419449
orda,57.1951,56.9091,43.21,58,100,22.41,RU,1619419449
tautira,-17.7333,-149.15,78.8,73,20,4.61,PF,1619419449
joao pinheiro,-17.7425,-46.1725,65.5,69,97,2.91,BR,1619419450
san lucas,16.6,-92.7167,73.83,77,3,2.66,MX,1619419450
salalah,17.0151,54.0924,87.8,62,75,10.36,OM,1619419451
imbituba,-28.24,-48.6703,68.0,83,40,5.75,BR,1619419451
atbasar,51.8,68.3333,55.15,59,100,17.31,KZ,1619419451
mzimba,-11.9,33.6,70.61,72,37,10.02,MW,1619419452
nhulunbuy,-12.2333,136.7667,78.8,94,40,5.75,AU,1619419452
vao,-22.6667,167.4833,73.87,71,41,17.87,NC,1619419452
broome,42.2506,-75.833,37.0,69,90,20.71,US,1619419453
jian,27.1172,114.9793,67.59,82,100,1.23,CN,1619419453
labuhan,-6.8844,112.2051,87.53,59,12,9.1,ID,1619419453
spitsevka,45.1231,42.5125,44.6,93,90,11.18,RU,1619419454
tramore,52.1624,-7.1524,46.99,83,8,4.0,IE,1619419454
provideniya,64.3833,-173.3,35.6,69,75,1.57,RU,1619419455
mayo,38.8876,-76.5119,55.4,47,1,11.5,US,1619419455
sao joao da barra,-21.6403,-41.0511,72.19,93,26,3.83,BR,1619419455
esperance,-33.8667,121.9,78.8,38,86,11.5,AU,1619419456
padang,-0.9492,100.3543,87.8,66,40,5.75,ID,1619419443
linxia,35.6003,103.2064,53.6,44,97,4.85,CN,1619419456
saint-philippe,-21.3585,55.7679,82.99,65,0,19.57,RE,1619419457
muros,42.7762,-9.0603,52.0,95,72,1.99,ES,1619419457
huarmey,-10.0681,-78.1522,66.72,88,23,6.89,PE,1619419457
zhanaozen,43.3,52.8,79.43,23,39,15.14,KZ,1619419458
kangaatsiaq,68.3065,-53.4641,34.34,82,100,2.66,GL,1619419458
lorengau,-2.0226,147.2712,83.34,73,99,1.79,PG,1619419458
juneau,58.3019,-134.4197,44.01,61,20,3.44,US,1619419305
huaicheng,23.9051,112.1931,68.45,96,100,1.39,CN,1619419459
barreirinha,-2.7933,-57.07,74.5,96,100,2.08,BR,1619419459
setermoen,68.861,18.3486,35.6,80,75,2.3,NO,1619419460
crixas,-14.5489,-49.9692,74.77,69,100,0.11,BR,1619419460
port-gentil,-0.7193,8.7815,80.6,94,40,6.46,GA,1619419460
santa cruz de tenerife,28.4682,-16.2546,64.99,94,75,11.5,ES,1619419461
mitu,1.1983,-70.1733,72.63,97,100,1.57,CO,1619419461
lo arado,19.6167,-104.5833,67.05,72,71,2.53,MX,1619419462
aranos,-24.1333,19.1167,68.72,23,100,14.72,NA,1619419462
predivinsk,57.0669,93.4378,38.53,94,100,6.46,RU,1619419462
norman wells,65.282,-126.8329,24.8,54,75,5.75,CA,1619419337
along,28.1667,94.7667,96.91,17,20,2.13,IN,1619419463
awbari,26.5921,12.7805,78.01,17,65,16.22,LY,1619419463
zhongshu,24.5167,103.7667,66.34,73,77,10.07,CN,1619419464
nago,26.5881,127.9761,82.4,44,1,11.5,JP,1619419464
komsomolskiy,40.4272,71.7189,77.0,25,0,4.61,UZ,1619419465
ormond beach,29.2858,-81.0559,70.0,88,1,9.86,US,1619419465
moranbah,-22.0016,148.0466,77.79,37,79,11.86,AU,1619419465
najran,17.4924,44.1277,82.4,34,0,4.61,SA,1619419330
burnie,-41.0667,145.9167,57.0,70,100,8.99,AU,1619419466
paamiut,61.994,-49.6678,33.91,98,100,7.29,GL,1619419466
dingle,10.9995,122.6711,85.55,64,55,10.07,PH,1619419467
morrope,-6.5417,-80.0111,64.99,87,28,4.0,PE,1619419467
nelson bay,-32.7167,152.15,68.0,64,20,8.05,AU,1619419467
amlagora,22.8333,87.3333,108.03,11,95,2.17,IN,1619419468
jalu,29.0331,21.5482,66.42,50,0,6.78,LY,1619419468
temnikov,54.6302,43.2148,43.86,47,6,13.87,RU,1619419468
huangpu,25.4433,113.1747,63.73,96,100,2.13,CN,1619419469
margate,51.3813,1.3862,44.01,66,35,5.99,GB,1619419469
guerrero negro,27.9769,-114.0611,57.97,83,100,9.75,MX,1619419470
chokurdakh,70.6333,147.9167,30.49,94,99,7.11,RU,1619419470
yellowknife,62.456,-114.3525,5.0,72,90,13.8,CA,1619419470
greeneville,36.1632,-82.831,48.2,81,90,4.61,US,1619419261
sinop,41.7711,34.8709,51.8,82,75,8.05,TR,1619419471
tuatapere,-46.1333,167.6833,46.0,69,91,11.01,NZ,1619419471
chaplynka,46.3651,33.5403,53.01,99,5,3.0,UA,1619419471
honavar,14.2833,74.45,92.41,55,5,9.17,IN,1619419472
fort nelson,58.8053,-122.7002,39.2,38,75,11.5,CA,1619419389
goderich,43.7501,-81.7165,24.8,86,88,4.61,CA,1619419472
sibu,2.3,111.8167,91.4,58,40,3.44,MY,1619419473
carutapera,-1.195,-46.02,75.16,91,76,4.52,BR,1619419473
machilipatnam,16.1667,81.1333,93.2,59,40,2.3,IN,1619419473
lidkoping,58.5052,13.1577,37.99,75,0,12.66,SE,1619419474
atasu,48.6814,71.6433,63.36,36,87,4.56,KZ,1619419275
gemena,3.25,19.7667,80.76,62,33,3.22,CD,1619419474
shreveport,32.5251,-93.7502,64.4,68,1,8.05,US,1619419344
alugan,12.2188,125.4808,81.64,66,11,11.1,PH,1619419475
saint anthony,45.0205,-93.218,41.0,60,20,9.22,US,1619419475
loreto,22.2667,-101.9667,61.7,58,94,4.18,MX,1619419476
saint-avertin,47.3636,0.7399,48.0,65,0,13.8,FR,1619419476
sarahan,31.5167,77.8,68.61,27,0,2.64,IN,1619419477
sychevka,55.8252,34.2736,40.37,58,33,12.12,RU,1619419477
coquimbo,-29.9533,-71.3436,53.6,87,90,3.44,CL,1619419477
miyako,39.6367,141.9525,43.47,49,22,16.02,JP,1619419478
sola,-13.8833,167.55,84.2,79,75,6.91,VU,1619419478
abha,18.2164,42.5053,73.4,42,40,4.05,SA,1619419330
bambous virieux,-20.3428,57.7575,79.0,83,75,14.97,MU,1619419479
mount isa,-20.7333,139.5,87.8,30,90,9.22,AU,1619419479
hudson bay,52.85,-102.3842,32.04,72,51,4.18,CA,1619419479
goure,13.9835,10.2704,91.99,20,14,5.79,NE,1619419480
ostrovnoy,68.0531,39.5131,31.71,90,100,23.09,RU,1619419480
san borja,-14.8167,-66.85,65.66,96,100,3.38,BO,1619419481
montepuez,-13.1256,38.9997,74.43,83,78,4.85,MZ,1619419481
lompoc,34.6391,-120.4579,51.8,87,100,4.27,US,1619419481
nawashahr,31.1167,76.1333,99.0,9,0,7.47,IN,1619419482
dickinson,29.4608,-95.0513,66.99,82,1,8.77,US,1619419482
klyuchi,52.2667,79.1667,62.91,33,100,12.15,RU,1619419482
palmer,42.1584,-72.3287,43.0,56,1,17.27,US,1619419249
puerto rico,-26.796,-55.024,51.35,95,1,0.89,AR,1619419483
caluquembe,-13.7833,14.6833,65.16,55,76,3.62,AO,1619419483
lebu,-37.6167,-73.65,53.19,93,10,8.99,CL,1619419484
zhigansk,66.7697,123.3711,26.65,93,100,14.58,RU,1619419484
north bend,43.4065,-124.2243,46.4,93,90,5.75,US,1619419230
doha,25.2867,51.5333,98.6,20,0,9.22,QA,1619419428
tiksi,71.6872,128.8694,23.76,94,100,14.12,RU,1619419485
kemi,65.8596,24.8228,35.6,55,0,16.11,FI,1619419485
billings,45.7833,-108.5007,44.01,87,90,4.61,US,1619419322
bose,45.4612,8.0137,57.0,82,100,0.67,IT,1619419486
medowie,-32.7333,151.8667,68.0,64,20,8.05,AU,1619419486
necochea,-38.5473,-58.7368,54.0,93,0,1.99,AR,1619419487
tezu,27.9167,96.1667,102.4,9,4,6.04,IN,1619419487
rocha,-34.4833,-54.3333,54.9,82,0,6.82,UY,1619419487
sao jose da coroa grande,-8.8978,-35.1478,78.06,77,57,4.94,BR,1619419488
quartucciu,39.2519,9.1794,64.0,72,20,10.36,IT,1619419488
kahului,20.8947,-156.47,73.4,78,20,19.57,US,1619419227
korla,41.7597,86.1469,61.68,16,51,5.55,CN,1619419489
chumikan,54.7183,135.315,40.73,83,100,0.83,RU,1619419489
greenwood,34.1668,-82.1165,51.8,87,40,5.59,US,1619419442
dongying,37.4564,118.4856,50.31,91,100,7.54,CN,1619419490
katangli,51.7102,143.2326,31.01,65,59,7.14,RU,1619419490
fortuna,40.5982,-124.1573,46.99,100,90,4.23,US,1619419490
sorkjosen,69.8,20.9333,32.7,92,100,6.71,NO,1619419491
biskupiec,53.8647,20.9569,33.8,86,75,5.75,PL,1619419359
lagos,6.5833,3.75,78.8,94,20,2.3,NG,1619419349
villaba,11.2135,124.3921,85.35,64,21,7.16,PH,1619419491
hengyang,26.8881,112.615,61.14,90,100,3.89,CN,1619419492
antofagasta,-23.65,-70.4,59.0,77,0,3.44,CL,1619419492
peace river,56.2501,-117.286,32.0,55,40,13.8,CA,1619419492
srednekolymsk,67.45,153.6833,26.91,75,26,6.06,RU,1619419493
dali,25.7,100.1833,82.83,18,1,8.48,CN,1619419310
la palma,33.8464,-118.0467,59.0,72,40,8.05,US,1619419256
krasnoselkup,65.7,82.4667,30.02,86,20,11.43,RU,1619419494
bilma,18.6853,12.9164,90.0,11,0,7.4,NE,1619419494
hualmay,-11.0964,-77.6139,65.25,91,21,6.38,PE,1619419494
auki,-8.7676,160.7034,80.91,82,50,4.45,SB,1619419495
oktyabrskiy,54.4815,53.471,48.65,41,9,19.04,RU,1619419495
kibala,9.1104,18.3463,78.8,69,0,6.91,TD,1619419495
anzio,41.4853,12.6179,57.0,87,0,11.34,IT,1619419496
seddon,-37.8068,144.8916,62.01,67,90,6.91,AU,1619419496
nishihara,26.1842,127.7558,82.4,57,40,9.22,JP,1619419497
kyren,51.6828,102.1408,43.5,47,97,2.13,RU,1619419497
moussoro,13.6408,16.4901,91.09,13,15,3.47,TD,1619419497
muleba,-1.8397,31.6544,68.0,94,75,11.5,TZ,1619419498
brae,60.3964,-1.353,44.6,93,75,6.91,GB,1619419498
ha tinh,18.3333,105.9,85.6,78,100,5.46,VN,1619419211
andenes,69.3143,16.1194,37.4,60,75,12.66,NO,1619419499
port moresby,-9.4431,147.1797,84.2,74,40,4.61,PG,1619419499
makasar,-5.14,119.4221,91.4,62,20,11.5,ID,1619419490
muli,2.9167,73.5667,83.41,69,63,4.92,MV,1619419499
chabahar,25.2919,60.643,86.65,52,2,6.76,IR,1619419500
alyangula,-13.8483,136.4192,77.0,100,75,3.44,AU,1619419500
labuan,5.2767,115.2417,89.6,66,20,4.61,MY,1619419501
rio grande,-32.035,-52.0986,57.99,92,87,14.0,BR,1619419501
patiya,22.2931,91.9762,91.4,62,40,6.91,BD,1619419502
puerto escondido,15.85,-97.0667,80.65,81,13,6.82,MX,1619419502
plettenberg bay,-34.0527,23.3716,67.01,68,100,3.91,ZA,1619419503
lagoa,39.05,-27.9833,58.77,85,100,7.72,PT,1619419503
tilichiki,60.4667,166.1,31.26,98,100,2.59,RU,1619419504
clarence town,-32.5833,151.7833,68.0,64,20,8.05,AU,1619419504
sur,22.5667,59.5289,94.55,30,100,1.59,OM,1619419504
lavrentiya,65.5833,-171.0,26.35,93,100,4.0,RU,1619419505
kodinsk,58.6881,99.1844,40.96,61,100,10.29,RU,1619419505
barsovo,61.1667,73.1667,55.4,26,0,13.42,RU,1619419506
raymond,43.9015,-70.4703,45.0,96,100,1.01,US,1619419506
bintulu,3.1667,113.0333,91.4,58,40,9.22,MY,1619419507
baculin,7.4525,126.5842,79.99,87,100,5.32,PH,1619419507
conakry,9.538,-13.6773,77.0,88,0,8.57,GN,1619419507
mayya,61.7333,130.2811,44.6,57,0,2.24,RU,1619419508
ketchikan,55.3422,-131.6461,46.81,63,0,3.58,US,1619419508
louis trichardt,-23.0439,29.9032,72.81,42,0,1.34,ZA,1619419508
boyolangu,-8.1181,111.8935,84.9,67,34,8.59,ID,1619419509
neringa,55.3719,21.0647,37.0,93,75,11.18,LT,1619419509
verishen,39.5356,46.3122,67.89,39,66,5.91,AM,1619419510
zhezkazgan,47.8043,67.7144,65.52,34,100,7.74,KZ,1619419510
catuday,16.2923,119.8062,82.26,64,100,11.21,PH,1619419510
pacific grove,36.6177,-121.9166,51.01,89,61,5.93,US,1619419511
liverpool,53.4106,-2.9779,42.8,87,22,1.14,GB,1619419313
mirnyy,62.5353,113.9611,24.15,65,100,15.26,RU,1619419511
nabire,-3.3667,135.4833,84.13,70,34,4.65,ID,1619419512
port-cartier,50.0334,-66.8654,41.0,52,90,16.11,CA,1619419512
ritchie,-29.038,24.6028,66.2,34,88,1.14,ZA,1619419513
okato,-39.2,173.8833,48.99,72,37,3.0,NZ,1619419513
harper,4.375,-7.7169,77.2,84,100,2.46,LR,1619419513
carnarvon,-24.8667,113.6333,86.0,42,5,9.22,AU,1619419514
jerantut,3.936,102.3626,88.97,64,35,1.5,MY,1619419514
kaeo,-35.1,173.7833,59.0,84,100,5.99,NZ,1619419514
caramay,10.1815,119.236,83.88,67,30,5.35,PH,1619419515
rypefjord,70.6333,23.6667,32.0,100,75,4.61,NO,1619419515
manokwari,-0.8667,134.0833,81.86,77,92,6.93,ID,1619419516
fujin,47.26,132.0322,60.55,17,100,6.13,CN,1619419516
kwinana,-32.25,115.7667,86.0,21,100,5.75,AU,1619419516
nalut,30.3333,10.85,74.48,22,7,21.65,LY,1619419517
koslan,63.4564,48.8989,42.12,76,100,3.67,RU,1619419517
qandala,11.472,49.8728,90.57,44,90,4.68,SO,1619419517
bodo,67.28,14.405,37.99,70,75,10.36,NO,1619419518
alto araguaia,-17.3147,-53.2153,62.46,89,98,6.02,BR,1619419518
trelew,-43.249,-65.3051,57.27,56,100,9.44,AR,1619419519
bundaberg,-24.85,152.35,77.0,50,75,8.05,AU,1619419519
sistranda,63.7256,8.834,37.4,87,75,6.91,NO,1619419519
faanui,-16.4833,-151.75,81.14,66,4,2.84,PF,1619419520
deputatskiy,69.3,139.9,28.74,84,76,2.57,RU,1619419520
